Month,FJ,AB,PEI,QC,SK,YT,BC,MB,NB,NL,NWT,NS,NU,ON
2013-01-01,,9.75,10.0,9.9,10.0,10.3,10.25,10.25,10.0,10.0,10.0,10.15,11.0,10.25
2013-02-01,,9.75,10.0,9.9,10.0,10.3,10.25,10.25,10.0,10.0,10.0,10.15,11.0,10.25
2013-03-01,,9.75,10.0,9.9,10.0,10.3,10.25,10.25,10.0,10.0,10.0,10.15,11.0,10.25
2013-04-01,,9.75,10.0,9.9,10.0,10.54,10.25,10.25,10.0,10.0,10.0,10.3,11.0,10.25
2013-05-01,,9.75,10.0,10.15,10.0,10.54,10.25,10.25,10.0,10.0,10.0,10.3,11.0,10.25
2013-06-01,,9.75,10.0,10.15,10.0,10.54,10.25,10.25,10.0,10.0,10.0,10.3,11.0,10.25
2013-07-01,,9.75,10.0,10.15,10.0,10.54,10.25,10.25,10.0,10.0,10.0,10.3,11.0,10.25
2013-08-01,,9.75,10.0,10.15,10.0,10.54,10.25,10.25,10.0,10.0,10.0,10.3,11.0,10.25
2013-09-01,,9.95,10.0,10.15,10.0,10.54,10.25,10.25,10.0,10.0,10.0,10.3,11.0,10.25
2013-10-01,,9.95,10.0,10.15,10.0,10.54,10.25,10.45,10.0,10.0,10.0,10.3,11.0,10.25
2013-11-01,,9.95,10.0,10.15,10.0,10.54,10.25,10.45,10.0,10.0,10.0,10.3,11.0,10.25
2013-12-01,,9.95,10.0,10.15,10.0,10.54,10.25,10.45,10.0,10.0,10.0,10.3,11.0,10.25
2014-01-01,,9.95,10.0,10.15,10.0,10.54,10.25,10.45,10.0,10.0,10.0,10.3,11.0,10.25
2014-02-01,,9.95,10.0,10.15,10.0,10.54,10.25,10.45,10.0,10.0,10.0,10.3,11.0,10.25
2014-03-01,,9.95,10.0,10.15,10.0,10.54,10.25,10.45,10.0,10.0,10.0,10.3,11.0,10.25
2014-04-01,,9.95,10.0,10.15,10.0,10.72,10.25,10.45,10.0,10.0,10.0,10.4,11.0,10.25
2014-05-01,,9.95,10.0,10.35,10.0,10.72,10.25,10.45,10.0,10.0,10.0,10.4,11.0,10.25
2014-06-01,,9.95,10.2,10.35,10.0,10.72,10.25,10.45,10.0,10.0,10.0,10.4,11.0,11.0
2014-07-01,,9.95,10.2,10.35,10.0,10.72,10.25,10.45,10.0,10.0,10.0,10.4,11.0,11.0
2014-08-01,,9.95,10.2,10.35,10.0,10.72,10.25,10.45,10.0,10.0,10.0,10.4,11.0,11.0
2014-09-01,,10.2,10.2,10.35,10.0,10.72,10.25,10.45,10.0,10.0,10.0,10.4,11.0,11.0
2014-10-01,,10.2,10.35,10.35,10.2,10.72,10.25,10.7,10.0,10.25,10.0,10.4,11.0,11.0
2014-11-01,,10.2,10.35,10.35,10.2,10.72,10.25,10.7,10.0,10.25,10.0,10.4,11.0,11.0
2014-12-01,,10.2,10.35,10.35,10.2,10.72,10.25,10.7,10.0,10.25,10.0,10.4,11.0,11.0
2015-01-01,,10.2,10.35,10.35,10.2,10.72,10.25,10.7,10.3,10.25,10.0,10.4,11.0,11.0
2015-02-01,,10.2,10.35,10.35,10.2,10.72,10.25,10.7,10.3,10.25,10.0,10.4,11.0,11.0
2015-03-01,,10.2,10.35,10.35,10.2,10.72,10.25,10.7,10.3,10.25,10.0,10.4,11.0,11.0
2015-04-01,,10.2,10.35,10.35,10.2,10.86,10.25,10.7,10.3,10.25,10.0,10.6,11.0,11.0
2015-05-01,,10.2,10.35,10.55,10.2,10.86,10.25,10.7,10.3,10.25,10.0,10.6,11.0,11.0
2015-06-01,,10.2,10.35,10.55,10.2,10.86,10.25,10.7,10.3,10.25,12.5,10.6,11.0,11.0
2015-07-01,,10.2,10.5,10.55,10.2,10.86,10.25,10.7,10.3,10.25,12.5,10.6,11.0,11.0
2015-08-01,,10.2,10.5,10.55,10.2,10.86,10.25,10.7,10.3,10.25,12.5,10.6,11.0,11.0
2015-09-01,,10.2,10.5,10.55,10.2,10.86,10.25,10.7,10.3,10.25,12.5,10.6,11.0,11.0
2015-10-01,,11.2,10.5,10.55,10.5,10.86,10.45,11.0,10.3,10.5,12.5,10.6,11.0,11.25
2015-11-01,,11.2,10.5,10.55,10.5,10.86,10.45,11.0,10.3,10.5,12.5,10.6,11.0,11.25
2015-12-01,,11.2,10.5,10.55,10.5,10.86,10.45,11.0,10.3,10.5,12.5,10.6,11.0,11.25
2016-01-01,,11.2,10.5,10.55,10.5,10.86,10.45,11.0,10.3,10.5,12.5,10.6,11.0,11.25
2016-02-01,,11.2,10.5,10.55,10.5,10.86,10.45,11.0,10.3,10.5,12.5,10.6,11.0,11.25
2016-03-01,,11.2,10.5,10.55,10.5,10.86,10.45,11.0,10.3,10.5,12.5,10.6,11.0,11.25
2016-04-01,,11.2,10.5,10.55,10.5,11.07,10.45,11.0,10.65,10.5,12.5,10.7,13.0,11.25
2016-05-01,,11.2,10.5,10.75,10.5,11.07,10.45,11.0,10.65,10.5,12.5,10.7,13.0,11.25
2016-06-01,,11.2,10.75,10.75,10.5,11.07,10.45,11.0,10.65,10.5,12.5,10.7,13.0,11.25
2016-07-01,,11.2,10.75,10.75,10.5,11.07,10.45,11.0,10.65,10.5,12.5,10.7,13.0,11.25
2016-08-01,,11.2,10.75,10.75,10.5,11.07,10.45,11.0,10.65,10.5,12.5,10.7,13.0,11.25
2016-09-01,,11.2,10.75,10.75,10.5,11.07,10.45,11.0,10.65,10.5,12.5,10.7,13.0,11.25
2016-10-01,,12.2,11.0,10.75,10.72,11.07,10.85,11.0,10.65,10.5,12.5,10.7,13.0,11.4
2016-11-01,,12.2,11.0,10.75,10.72,11.07,10.85,11.0,10.65,10.5,12.5,10.7,13.0,11.4
2016-12-01,,12.2,11.0,10.75,10.72,11.07,10.85,11.0,10.65,10.5,12.5,10.7,13.0,11.4
2017-01-01,,12.2,11.0,10.75,10.72,11.07,10.85,11.0,10.65,10.5,12.5,10.7,13.0,11.4
2017-02-01,,12.2,11.0,10.75,10.72,11.07,10.85,11.0,10.65,10.5,12.5,10.7,13.0,11.4
2017-03-01,,12.2,11.0,10.75,10.72,11.07,10.85,11.0,10.65,10.5,12.5,10.7,13.0,11.4
2017-04-01,,12.2,11.25,10.75,10.72,11.32,10.85,11.0,11.0,10.75,12.5,10.85,13.0,11.4
2017-05-01,,12.2,11.25,11.25,10.72,11.32,10.85,11.0,11.0,10.75,12.5,10.85,13.0,11.4
2017-06-01,,12.2,11.25,11.25,10.72,11.32,10.85,11.0,11.0,10.75,12.5,10.85,13.0,11.4
2017-07-01,,12.2,11.25,11.25,10.72,11.32,10.85,11.0,11.0,10.75,12.5,10.85,13.0,11.4
2017-08-01,,12.2,11.25,11.25,10.72,11.32,10.85,11.0,11.0,10.75,12.5,10.85,13.0,11.4
2017-09-01,,12.2,11.25,11.25,10.72,11.32,10.85,11.0,11.0,10.75,12.5,10.85,13.0,11.4
2017-10-01,,13.6,11.25,11.25,10.96,11.32,11.35,11.15,11.0,11.0,12.5,10.85,13.0,11.6
2017-11-01,,13.6,11.25,11.25,10.96,11.32,11.35,11.15,11.0,11.0,12.5,10.85,13.0,11.6
2017-12-01,,13.6,11.25,11.25,10.96,11.32,11.35,11.15,11.0,11.0,12.5,10.85,13.0,11.6
2018-01-01,,13.6,11.25,11.25,10.96,11.32,11.35,11.15,11.0,11.0,12.5,10.85,13.0,14.0
2018-02-01,,13.6,11.25,11.25,10.96,11.32,11.35,11.15,11.0,11.0,12.5,10.85,13.0,14.0
2018-03-01,,13.6,11.25,11.25,10.96,11.32,11.35,11.15,11.0,11.0,12.5,10.85,13.0,14.0
2018-04-01,,13.6,11.55,11.25,10.96,11.51,11.35,11.15,11.25,11.15,13.46,11.0,13.0,14.0
2018-05-01,,13.6,11.55,12.0,10.96,11.51,11.35,11.15,11.25,11.15,13.46,11.0,13.0,14.0
2018-06-01,,13.6,11.55,12.0,10.96,11.51,12.65,11.15,11.25,11.15,13.46,11.0,13.0,14.0
2018-07-01,,13.6,11.55,12.0,10.96,11.51,12.65,11.15,11.25,11.15,13.46,11.0,13.0,14.0
2018-08-01,,13.6,11.55,12.0,10.96,11.51,12.65,11.15,11.25,11.15,13.46,11.0,13.0,14.0
2018-09-01,,13.6,11.55,12.0,10.96,11.51,12.65,11.15,11.25,11.15,13.46,11.0,13.0,14.0
2018-10-01,,15.0,11.55,12.0,11.06,11.51,12.65,11.35,11.25,11.15,13.46,11.0,13.0,14.0
2018-11-01,,15.0,11.55,12.0,11.06,11.51,12.65,11.35,11.25,11.15,13.46,11.0,13.0,14.0
2018-12-01,,15.0,11.55,12.0,11.06,11.51,12.65,11.35,11.25,11.15,13.46,11.0,13.0,14.0
2019-01-01,,15.0,11.55,12.0,11.06,11.51,12.65,11.35,11.25,11.15,13.46,11.0,13.0,14.0
2019-02-01,,15.0,11.55,12.0,11.06,11.51,12.65,11.35,11.25,11.15,13.46,11.0,13.0,14.0
2019-03-01,,15.0,11.55,12.0,11.06,11.51,12.65,11.35,11.25,11.15,13.46,11.0,13.0,14.0
2019-04-01,,15.0,12.25,12.0,11.06,12.71,12.65,11.35,11.5,11.4,13.46,11.55,13.0,14.0
2019-05-01,,15.0,12.25,12.5,11.06,12.71,12.65,11.35,11.5,11.4,13.46,11.55,13.0,14.0
2019-06-01,,15.0,12.25,12.5,11.06,12.71,13.85,11.35,11.5,11.4,13.46,11.55,13.0,14.0
2019-07-01,,15.0,12.25,12.5,11.06,12.71,13.85,11.35,11.5,11.4,13.46,11.55,13.0,14.0
2019-08-01,,15.0,12.25,12.5,11.06,12.71,13.85,11.35,11.5,11.4,13.46,11.55,13.0,14.0
2019-09-01,,15.0,12.25,12.5,11.06,12.71,13.85,11.35,11.5,11.4,13.46,11.55,13.0,14.0
2019-10-01,,15.0,12.25,12.5,11.32,12.71,13.85,11.65,11.5,11.4,13.46,11.55,13.0,14.0
2019-11-01,,15.0,12.25,12.5,11.32,12.71,13.85,11.65,11.5,11.4,13.46,11.55,13.0,14.0
2019-12-01,,15.0,12.25,12.5,11.32,12.71,13.85,11.65,11.5,11.4,13.46,11.55,13.0,14.0
2020-01-01,,15.0,12.25,12.5,11.32,12.71,13.85,11.65,11.5,11.4,13.46,11.55,13.0,14.0
2020-02-01,,15.0,12.25,12.5,11.32,12.71,13.85,11.65,11.5,11.4,13.46,11.55,13.0,14.0
2020-03-01,,15.0,12.25,12.5,11.32,12.71,13.85,11.65,11.5,11.4,13.46,11.55,13.0,14.0
2020-04-01,,15.0,12.85,12.5,11.32,13.71,13.85,11.65,11.7,11.65,13.46,12.55,16.0,14.0
2020-05-01,,15.0,12.85,13.1,11.32,13.71,13.85,11.65,11.7,11.65,13.46,12.55,16.0,14.0
2020-06-01,,15.0,12.85,13.1,11.32,13.71,14.6,11.65,11.7,11.65,13.46,12.55,16.0,14.0
2020-07-01,,15.0,12.85,13.1,11.32,13.71,14.6,11.65,11.7,11.65,13.46,12.55,16.0,14.0
2020-08-01,,15.0,12.85,13.1,11.32,13.71,14.6,11.65,11.7,11.65,13.46,12.55,16.0,14.0
2020-09-01,,15.0,12.85,13.1,11.32,13.71,14.6,11.65,11.7,11.65,13.46,12.55,16.0,14.0
2020-10-01,,15.0,12.85,13.1,11.45,13.71,14.6,11.9,11.7,12.15,13.46,12.55,16.0,14.25
2020-11-01,,15.0,12.85,13.1,11.45,13.71,14.6,11.9,11.7,12.15,13.46,12.55,16.0,14.25
2020-12-01,,15.0,12.85,13.1,11.45,13.71,14.6,11.9,11.7,12.15,13.46,12.55,16.0,14.25
2021-01-01,,15.0,12.85,13.1,11.45,13.71,14.6,11.9,11.7,12.15,13.46,12.55,16.0,14.25
2021-02-01,,15.0,12.85,13.1,11.45,13.71,14.6,11.9,11.7,12.15,13.46,12.55,16.0,14.25
2021-03-01,,15.0,12.85,13.1,11.45,13.71,14.6,11.9,11.7,12.15,13.46,12.55,16.0,14.25
2021-04-01,,15.0,13.0,13.1,11.45,13.85,14.6,11.9,11.75,12.5,13.46,12.95,16.0,14.25
2021-05-01,,15.0,13.0,13.5,11.45,13.85,14.6,11.9,11.75,12.5,13.46,12.95,16.0,14.25
2021-06-01,,15.0,13.0,13.5,11.45,13.85,15.2,11.9,11.75,12.5,13.46,12.95,16.0,14.25
2021-07-01,,15.0,13.0,13.5,11.45,13.85,15.2,11.9,11.75,12.5,13.46,12.95,16.0,14.25
2021-08-01,,15.0,13.0,13.5,11.45,15.2,15.2,11.9,11.75,12.5,13.46,12.95,16.0,14.25
2021-09-01,,15.0,13.0,13.5,11.45,15.2,15.2,11.9,11.75,12.5,15.2,12.95,16.0,14.25
2021-10-01,,15.0,13.0,13.5,11.81,15.2,15.2,11.95,11.75,12.75,15.2,12.95,16.0,14.35
2021-11-01,,15.0,13.0,13.5,11.81,15.2,15.2,11.95,11.75,12.75,15.2,12.95,16.0,14.35
2021-12-01,,15.0,13.0,13.5,11.81,15.2,15.2,11.95,11.75,12.75,15.2,12.95,16.0,14.35
2022-01-01,15.0,15.0,13.0,13.5,11.81,15.2,15.2,11.95,11.75,12.75,15.2,12.95,16.0,15.0
2022-02-01,15.0,15.0,13.0,13.5,11.81,15.2,15.2,11.95,11.75,12.75,15.2,12.95,16.0,15.0
2022-03-01,15.0,15.0,13.0,13.5,11.81,15.2,15.2,11.95,11.75,12.75,15.2,12.95,16.0,15.0
2022-04-01,15.55,15.0,13.7,13.5,11.81,15.7,15.2,11.95,12.75,13.2,15.2,13.35,16.0,15.0
2022-05-01,15.55,15.0,13.7,14.25,11.81,15.7,15.2,11.95,12.75,13.2,15.2,13.35,16.0,15.0
2022-06-01,15.55,15.0,13.7,14.25,11.81,15.7,15.65,11.95,12.75,13.2,15.2,13.35,16.0,15.0
2022-07-01,15.55,15.0,13.7,14.25,11.81,15.7,15.65,11.95,12.75,13.2,15.2,13.35,16.0,15.0
2022-08-01,15.55,15.0,13.7,14.25,11.81,15.7,15.65,11.95,12.75,13.2,15.2,13.35,16.0,15.0
2022-09-01,15.55,15.0,13.7,14.25,11.81,15.7,15.65,11.95,12.75,13.2,15.2,13.35,16.0,15.0
2022-10-01,15.55,15.0,13.7,14.25,13.0,15.7,15.65,13.5,13.75,13.7,15.2,13.6,16.0,15.5
2022-11-01,15.55,15.0,13.7,14.25,13.0,15.7,15.65,13.5,13.75,13.7,15.2,13.6,16.0,15.5
2022-12-01,15.55,15.0,13.7,14.25,13.0,15.7,15.65,13.5,13.75,13.7,15.2,13.6,16.0,15.5
2023-01-01,15.55,15.0,14.5,14.25,13.0,15.7,15.65,13.5,13.75,13.7,15.2,13.6,16.0,15.5
2023-02-01,15.55,15.0,14.5,14.25,13.0,15.7,15.65,13.5,13.75,13.7,15.2,13.6,16.0,15.5
2023-03-01,15.55,15.0,14.5,14.25,13.0,15.7,15.65,13.5,13.75,13.7,15.2,13.6,16.0,15.5
2023-04-01,16.65,15.0,14.5,14.25,13.0,16.77,15.65,14.15,14.75,14.5,15.2,14.5,16.0,15.5
2023-05-01,16.65,15.0,14.5,15.25,13.0,16.77,15.65,14.15,14.75,14.5,15.2,14.5,16.0,15.5
2023-06-01,16.65,15.0,14.5,15.25,13.0,16.77,16.75,14.15,14.75,14.5,15.2,14.5,16.0,15.5
2023-07-01,16.65,15.0,14.5,15.25,13.0,16.77,16.75,14.15,14.75,14.5,15.2,14.5,16.0,15.5
2023-08-01,16.65,15.0,14.5,15.25,13.0,16.77,16.75,14.15,14.75,14.5,15.2,14.5,16.0,15.5
2023-09-01,16.65,15.0,14.5,15.25,13.0,16.77,16.75,14.15,14.75,14.5,16.05,14.5,16.0,15.5
2023-10-01,16.65,15.0,15.0,15.25,14.0,16.77,16.75,15.3,14.75,15.0,16.05,15.0,16.0,16.55
2023-11-01,16.65,15.0,15.0,15.25,14.0,16.77,16.75,15.3,14.75,15.0,16.05,15.0,16.0,16.55
2023-12-01,16.65,15.0,15.0,15.25,14.0,16.77,16.75,15.3,14.75,15.0,16.05,15.0,16.0,16.55
